2025-10-18 05:52:31 http://58.19.133.216:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:33 http://101.66.195.101:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:37 http://112.99.193.34:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:40 http://183.131.246.250:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:48 http://101.66.199.152:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:49 http://101.66.199.67:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:53:14 http://113.195.162.70:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:54:18 可用频道：22 个 , 不可用频道：136 个 , 总频道：333 个 , 总进度：47.45%
2025-10-18 05:54:18 可用频道：23 个 , 不可用频道：136 个 , 总频道：333 个 , 总进度：47.75% - CCTV7: 0.0001 MB/s
2025-10-18 05:54:18 可用频道：24 个 , 不可用频道：136 个 , 总频道：333 个 , 总进度：48.05% - CCTV8: 0.0001 MB/s
2025-10-18 05:54:18 可用频道：25 个 , 不可用频道：136 个 , 总频道：333 个 , 总进度：48.35% - CCTV6: 0.0001 MB/s
2025-10-18 05:54:19 可用频道：26 个 , 不可用频道：136 个 , 总频道：333 个 , 总进度：48.65% - CCTV5: 0.0001 MB/s
2025-10-18 05:54:20 可用频道：26 个 , 不可用频道：137 个 , 总频道：333 个 , 总进度：48.95%
2025-10-18 05:54:21 可用频道：27 个 , 不可用频道：137 个 , 总频道：333 个 , 总进度：49.25% - CCTV14: 0.0002 MB/s
2025-10-18 05:54:21 可用频道：28 个 , 不可用频道：137 个 , 总频道：333 个 , 总进度：49.55% - CCTV10: 0.0001 MB/s
2025-10-18 05:54:21 可用频道：29 个 , 不可用频道：137 个 , 总频道：333 个 , 总进度：49.85% - CCTV11: 0.0001 MB/s
2025-10-18 05:54:21 可用频道：30 个 , 不可用频道：137 个 , 总频道：333 个 , 总进度：50.15% - 东方卫视: 0.0002 MB/s
2025-10-18 05:54:21 可用频道：31 个 , 不可用频道：137 个 , 总频道：333 个 , 总进度：50.45% - 湖南卫视: 0.0002 MB/s
2025-10-18 05:54:22 可用频道：32 个 , 不可用频道：137 个 , 总频道：333 个 , 总进度：50.75% - CCTV13: 0.0002 MB/s
2025-10-18 05:54:22 可用频道：33 个 , 不可用频道：137 个 , 总频道：333 个 , 总进度：51.05% - CCTV12: 0.0001 MB/s
